date,group,index,category,sub-category
1/9/2020,54,107.9,Furnishings & Household Equipment,"Glassware, tableware & household utensils"
1/9/2020,55,109.5,Furnishings & Household Equipment,Tools & equipment for house & garden
1/9/2020,56,124.6,Furnishings & Household Equipment,Goods & services for routine household maintenance
1/9/2020,61,119.8,Health,Medicines & health products
1/9/2020,62,141,Health,Outpatient care services
1/9/2020,63,120.3,Health,Inpatient care services
1/9/2020,64,117,Health,Others health services
1/9/2020,71,94.9,Transport,Purchase of vehicles
1/9/2020,72,103.2,Transport,Operation of personal transport equipment
1/9/2020,73,130.7,Transport,Passenger transport services
1/9/2020,74,,Transport,Transport services of goods
1/9/2020,81,58.6,Communication,Information & communication equipment
1/9/2020,83,102.4,Communication,Information & communication services
1/9/2020,92,101.1,Recreation & Culture,Other recreational goods
1/9/2020,93,115.3,Recreation & Culture,Garden products & pets
1/9/2020,94,120.9,Recreation & Culture,Recreational services
1/9/2020,95,102.2,Recreation & Culture,Cultural goods
1/9/2020,96,124.2,Recreation & Culture,Cultural services
1/9/2020,97,113.8,Recreation & Culture,Newspapers & periodicals
1/9/2020,98,130.5,Recreation & Culture,Package holidays
1/9/2020,101,125.4,Education,Pre primary & primary education
1/9/2020,102,118.5,Education,Secondary education
1/9/2020,103,114.7,Education,Post-secondary non-tertiary education
1/9/2020,104,114.9,Education,Tertiary education
1/9/2020,105,119,Education,Education not defined by level
1/9/2020,111,137.1,Restaurants & Accommodation,Food & beverage preparation services
1/9/2020,112,100.1,Restaurants & Accommodation,Accommodation services
1/9/2020,121,109.9,Miscellaneous Goods & Services,Insurance
1/9/2020,122,103.8,Miscellaneous Goods & Services,Explicit charges by deposit-taking corporations
1/9/2020,131,115.1,Other Services,Personal care
1/9/2020,132,139.1,Other Services,Other personal item
1/9/2020,133,128.6,Other Services,Social protection
1/9/2020,139,120.1,Other Services,Other services
1/10/2020,1,143.2,Food & Non-Alcoholic Beverages,Food away from home
1/10/2020,11,131.9,Food & Non-Alcoholic Beverages,Food at home
1/10/2020,12,112.9,Food & Non-Alcoholic Beverages,Non-alcoholic beverages
1/10/2020,21,110.7,Alcohol & Tobacco,Alcoholic beverages
1/10/2020,23,183.7,Alcohol & Tobacco,Tobacco
1/10/2020,31,96,Clothing & Footwear,Clothes
1/10/2020,32,82.2,Clothing & Footwear,Shoes
1/10/2020,41,127,"Housing, Water, Electricity, Gas & Other Fuels",Actual rentals for housing
1/10/2020,43,126.4,"Housing, Water, Electricity, Gas & Other Fuels","Maintenance, repair & security of the dwelling"
1/10/2020,44,104.9,"Housing, Water, Electricity, Gas & Other Fuels",Water supply & miscellaneous services relating to the dwelling
1/10/2020,45,76.8,"Housing, Water, Electricity, Gas & Other Fuels","Electricity, gas & fuel"
1/10/2020,51,116.2,Furnishings & Household Equipment,"Furniture, furnishings & loose carpets"
1/10/2020,52,91.9,Furnishings & Household Equipment,Household textiles
1/10/2020,53,106.3,Furnishings & Household Equipment,Household appliances
1/10/2020,54,107.9,Furnishings & Household Equipment,"Glassware, tableware & household utensils"
